Date,Prix PEG mensuel
2013-01,"27,96"
2013-02,"27,38"
2013-03,"26,39"
2013-04,"27,4"
2013-05,"27,45"
2013-06,"27,04"
2013-07,"26,35"
2013-08,"26,52"
2013-09,"26,1"
2013-10,"27,13"
2013-11,"27,55"
2013-12,"28,11"
2014-01,"28,52"
2014-02,27
2014-03,"24,32"
2014-04,"23,57"
2014-05,"21,13"
2014-06,20
2014-07,"18,18"
2014-08,"17,29"
2014-09,"18,78"
2014-10,"22,63"
2014-11,"23,65"
2014-12,"23,57"
2015-01,"23,19"
2015-02,"20,44"
2015-03,"22,53"
2015-04,22
2015-05,"21,61"
2015-06,"20,69"
2015-07,"20,51"
2015-08,"20,88"
2015-09,"19,46"
2015-10,"19,09"
2015-11,"18,43"
2015-12,"17,7"
2016-01,"16,33"
2016-02,"13,98"
2016-03,"12,42"
2016-04,"12,29"
2016-05,"12,06"
2016-06,"13,08"
2016-07,"14,42"
2016-08,"14,34"
2016-09,"12,64"
2016-10,"13,13"
2016-11,"16,63"
2016-12,"18,2"
2017-01,"17,74"
2017-02,"20,29"
2017-03,"19,92"
2017-04,"16,08"
2017-05,"15,84"
2017-06,"15,5"
2017-07,"14,82"
2017-08,"14,62"
2017-09,"15,7"
2017-10,"17,18"
2017-11,"18,39"
2017-12,"19,94"
2018-01,"21,39"
2018-02,"19,104"
2018-03,"18,908"
2018-04,"18,83"
2018-05,"19,326"
2018-06,"21,568"
2018-07,"21,757"
2018-08,"22,24"
2018-09,"23,676"
2018-10,"27,959"
2018-11,"24,88"
2018-12,"24,078"
2019-01,"22,022"
2019-02,"18,275"
2019-03,"15,774"
2019-04,"14,893"
2019-05,"13,253"
2019-06,"10,733"
2019-07,"10,974"
2019-08,"11,158"
2019-09,"12,957"
2019-10,"15,633"
2019-11,"15,795"
2019-12,"12,11"
2020-01,"11,081"
2020-02,"9,051"
2020-03,"8,378"
2020-04,"6,557"
2020-05,"4,782"
2020-06,"5,092"
2020-07,"5,264"
2020-08,"7,852"
2020-09,"11,223"
2020-10,"14,049"
2020-11,"13,794"
2020-12,"16,223"
2021-01,"20,493"
2021-02,"17,377"
2021-03,"17,239"
2021-04,"20,011"
2021-05,"24,662"
2021-06,"28,5"
2021-07,"35,636"
2021-08,"44,116"
2021-09,"63,71"
2021-10,"92,366"
2021-11,"80,73"
2021-12,"115,224"
2022-01,"84,408"
2022-02,"79,841"
2022-03,"127,367"
2022-04,"92,917"
2022-05,"80,78"
2022-06,"95,044"
2022-07,"133,009"
2022-08,"170,361"
2022-09,"151,91"
2022-10,"112,05"
2022-11,"105,12"
2022-12,"111,694"
2023-01,"60,409"
2023-02,"50,678"
2023-03,"43,28"
2023-04,"40,919"
2023-05,"30,135"
2023-06,"31,526"
2023-07,"29,561"
2023-08,"34,488"
